assetID,lat,lon,vs30,fragilityModel,censusTract,occType,occupancy,strType,designLevel
228,37.5814599,-122.3897966,360,RM1L-m-COM7-DF,6081605000,COM,COM7,RM1L,MC
229,37.5814599,-122.3897966,360,RM1M-m-COM7-DF,6081605000,COM,COM7,RM1M,MC
230,37.5814599,-122.3897966,360,RM2M-m-COM7-DF,6081605000,COM,COM7,RM2M,MC
231,37.5814599,-122.3897966,360,S2L-m-COM7-DF,6081605000,COM,COM7,S2L,MC
232,37.5814599,-122.3897966,360,S3-p-COM7-DF,6081605000,COM,COM7,S3,PC
233,37.5814599,-122.3897966,360,S4M-m-COM7-DF,6081605000,COM,COM7,S4M,MC
234,37.5814599,-122.3897966,360,W1-m-COM7-DF,6081605000,COM,COM7,W1,MC
235,37.5814599,-122.3897966,360,W2-m-COM7-DF,6081605000,COM,COM7,W2,MC
236,37.5814599,-122.3897966,360,C2L-m-COM8-DF,6081605000,COM,COM8,C2L,MC
237,37.5814599,-122.3897966,360,RM2L-m-COM8-DF,6081605000,COM,COM8,RM2L,MC
238,37.5814599,-122.3897966,360,S2L-m-COM8-DF,6081605000,COM,COM8,S2L,MC
239,37.5814599,-122.3897966,360,S4L-h-COM8-DF,6081605000,COM,COM8,S4L,HC
240,37.5814599,-122.3897966,360,S4L-m-COM8-DF,6081605000,COM,COM8,S4L,MC
241,37.5814599,-122.3897966,360,C2L-m-EDU1-DF,6081605000,EDU,EDU1,C2L,MS
242,37.5814599,-122.3897966,360,PC1-m-EDU1-DF,6081605000,EDU,EDU1,PC1,MS
243,37.5814599,-122.3897966,360,RM1L-m-EDU1-DF,6081605000,EDU,EDU1,RM1L,MS
244,37.5814599,-122.3897966,360,S2L-m-EDU1-DF,6081605000,EDU,EDU1,S2L,MS
245,37.5814599,-122.3897966,360,S4L-m-EDU1-DF,6081605000,EDU,EDU1,S4L,MS
246,37.5814599,-122.3897966,360,W2-m-EDU1-DF,6081605000,EDU,EDU1,W2,MS
247,37.5814599,-122.3897966,360,S1M-m-GOV1-DF,6081605000,GOV,GOV1,S1M,MC
248,37.5814599,-122.3897966,360,W1-m-GOV1-DF,6081605000,GOV,GOV1,W1,MC
