AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,occupancy,strType,occType,designLevel,censusTract,ExpectedLoss
"142",39.263444,-121.506255,360,871.35,"PC2L-m-IND6-DF","IND6","PC2L","IND","MC","6115041001",NaN
"143",39.263444,-121.506255,360,834.40,"RM1L-m-IND6-DF","IND6","RM1L","IND","MC","6115041001",NaN
"144",39.263444,-121.506255,360,1668.80,"S3-m-IND6-DF","IND6","S3","IND","MC","6115041001",NaN
"145",39.263444,-121.506255,360,3432.96,"W1-m-IND6-DF","IND6","W1","IND","MC","6115041001",NaN
"146",39.263444,-121.506255,360,858.24,"W2-m-IND6-DF","IND6","W2","IND","MC","6115041001",NaN
"147",39.263444,-121.506255,360,1553.64,"PC1-m-REL1-DF","REL1","PC1","REL","MC","6115041001",NaN
"148",39.263444,-121.506255,360,1553.64,"S3-m-REL1-DF","REL1","S3","REL","MC","6115041001",NaN
"149",39.263444,-121.506255,360,1600.72,"W2-m-REL1-DF","REL1","W2","REL","MC","6115041001",NaN
"150",39.263444,-121.506255,360,29983.68,"W1-l-RES1-DF","RES1","W1","RES","LC","6115041001",NaN
"151",39.263444,-121.506255,360,299836.80,"W1-m-RES1-DF","RES1","W1","RES","MC","6115041001",NaN
"152",39.263444,-121.506255,360,3331.52,"W2-m-RES1-DF","RES1","W2","RES","MC","6115041001",NaN
"153",39.263444,-121.506255,360,1311.72,"MH-l-RES2-DF","RES2","MH","RES","LC","6115041001",NaN
"154",39.263444,-121.506255,360,41975.04,"MH-m-RES2-DF","RES2","MH","RES","MC","6115041001",NaN
"155",39.263444,-121.506255,360,437.24,"MH-p-RES2-DF","RES2","MH","RES","PC","6115041001",NaN
"156",39.263444,-121.506255,360,2678.93,"C2L-m-RES3AF-DF","RES3A","C2L","RES","MC","6115041001",NaN
"157",39.263444,-121.506255,360,400.30,"PC2L-m-RES3AF-DF","RES3A","PC2L","RES","MC","6115041001",NaN
"158",39.263444,-121.506255,360,1319.67,"RM1L-m-RES3AF-DF","RES3A","RM1L","RES","MC","6115041001",NaN
"159",39.263444,-121.506255,360,870.98,"S1L-m-RES3AF-DF","RES3A","S1L","RES","MC","6115041001",NaN
"160",39.263444,-121.506255,360,1319.67,"S3-m-RES3AF-DF","RES3A","S3","RES","MC","6115041001",NaN
"161",39.263444,-121.506255,360,448.69,"S4L-m-RES3AF-DF","RES3A","S4L","RES","MC","6115041001",NaN
"162",39.263444,-121.506255,360,3695.08,"W1-l-RES3AF-DF","RES3A","W1","RES","LC","6115041001",NaN
"163",39.263444,-121.506255,360,30669.13,"W1-m-RES3AF-DF","RES3A","W1","RES","MC","6115041001",NaN
"164",39.263444,-121.506255,360,2586.55,"W2-m-RES3AF-DF","RES3A","W2","RES","MC","6115041001",NaN
"165",39.263444,-121.506255,360,727.77,"C2L-m-RES3AF-DF","RES3B","C2L","RES","MC","6115041001",NaN
"166",39.263444,-121.506255,360,727.77,"S4L-m-RES3AF-DF","RES3B","S4L","RES","MC","6115041001",NaN
"167",39.263444,-121.506255,360,1412.73,"W1-m-RES3AF-DF","RES3B","W1","RES","MC","6115041001",NaN
"168",39.263444,-121.506255,360,1412.73,"W2-m-RES3AF-DF","RES3B","W2","RES","MC","6115041001",NaN
"169",39.263444,-121.506255,360,1284.00,"W1-m-RES3AF-DF","RES3C","W1","RES","MC","6115041001",NaN
"170",39.263444,-121.506255,360,8319.00,"RM1L-m-RES3AF-DF","RES3D","RM1L","RES","MC","6115041001",NaN
"171",39.263444,-121.506255,360,4117.00,"RM1L-m-RES6-DF","RES6","RM1L","RES","MC","6115041001",NaN
"172",39.263444,-121.506255,360,8234.00,"W1-m-RES6-DF","RES6","W1","RES","MC","6115041001",NaN
"173",39.263444,-121.506255,360,8234.00,"W2-m-RES6-DF","RES6","W2","RES","MC","6115041001",NaN
"174",37.581460,-122.389797,360,1904.56,"C2L-m-COM1-DF","COM1","C2L","COM","MC","6081605000",NaN
"175",37.581460,-122.389797,360,952.28,"C2M-m-COM1-DF","COM1","C2M","COM","MC","6081605000",NaN
"176",37.581460,-122.389797,360,952.28,"PC1-m-COM1-DF","COM1","PC1","COM","MC","6081605000",NaN
"177",37.581460,-122.389797,360,1455.37,"RM1L-m-COM1-DF","COM1","RM1L","COM","MC","6081605000",NaN
"178",37.581460,-122.389797,360,485.12,"RM2L-m-COM1-DF","COM1","RM2L","COM","MC","6081605000",NaN
"179",37.581460,-122.389797,360,963.06,"W1-m-COM1-DF","COM1","W1","COM","MC","6081605000",NaN
"180",37.581460,-122.389797,360,474.34,"W2-m-COM1-DF","COM1","W2","COM","MC","6081605000",NaN
"181",37.581460,-122.389797,360,102.00,"C2L-m-COM10-DF","COM10","C2L","COM","MC","6081605000",NaN
"182",37.581460,-122.389797,360,102.00,"S4L-m-COM10-DF","COM10","S4L","COM","MC","6081605000",NaN
"183",37.581460,-122.389797,360,671.36,"C2L-m-COM2-DF","COM2","C2L","COM","MC","6081605000",NaN
"184",37.581460,-122.389797,360,671.36,"C2L-p-COM2-DF","COM2","C2L","COM","PC","6081605000",NaN
"185",37.581460,-122.389797,360,671.36,"C2M-m-COM2-DF","COM2","C2M","COM","MC","6081605000",NaN
"186",37.581460,-122.389797,360,2109.99,"PC1-m-COM2-DF","COM2","PC1","COM","MC","6081605000",NaN
"187",37.581460,-122.389797,360,671.36,"PC1-h-COM2-DF","COM2","PC1","COM","VC","6081605000",NaN
"188",37.581460,-122.389797,360,682.11,"RM2L-m-COM2-DF","COM2","RM2L","COM","MC","6081605000",NaN
"189",37.581460,-122.389797,360,1384.89,"RM2M-m-COM2-DF","COM2","RM2M","COM","MC","6081605000",NaN
"190",37.581460,-122.389797,360,661.44,"S4L-m-COM2-DF","COM2","S4L","COM","MC","6081605000",NaN
"191",37.581460,-122.389797,360,744.12,"W1-m-COM2-DF","COM2","W1","COM","MC","6081605000",NaN
"192",37.581460,-122.389797,360,6866.25,"C2L-m-COM3-DF","COM3","C2L","COM","MC","6081605000",NaN
"193",37.581460,-122.389797,360,6866.25,"C2M-m-COM3-DF","COM3","C2M","COM","MC","6081605000",NaN
"194",37.581460,-122.389797,360,11581.08,"RM1L-m-COM3-DF","COM3","RM1L","COM","MC","6081605000",NaN
"195",37.581460,-122.389797,360,11329.31,"RM2L-m-COM3-DF","COM3","RM2L","COM","MC","6081605000",NaN
"196",37.581460,-122.389797,360,2265.86,"RM2M-m-COM3-DF","COM3","RM2M","COM","MC","6081605000",NaN
"197",37.581460,-122.389797,360,2288.75,"S1L-m-COM3-DF","COM3","S1L","COM","MC","6081605000",NaN
"198",37.581460,-122.389797,360,2288.75,"S1M-m-COM3-DF","COM3","S1M","COM","MC","6081605000",NaN
"199",37.581460,-122.389797,360,2288.75,"W1-m-COM3-DF","COM3","W1","COM","MC","6081605000",NaN
"200",37.581460,-122.389797,360,1826.94,"C1M-m-COM4-DF","COM4","C1M","COM","MC","6081605000",NaN
"201",37.581460,-122.389797,360,913.47,"C2L-h-COM4-DF","COM4","C2L","COM","HC","6081605000",NaN
"202",37.581460,-122.389797,360,5176.34,"C2L-m-COM4-DF","COM4","C2L","COM","MC","6081605000",NaN
"203",37.581460,-122.389797,360,913.47,"C2L-h-COM4-DF","COM4","C2L","COM","VC","6081605000",NaN
"204",37.581460,-122.389797,360,2740.41,"C2M-m-COM4-DF","COM4","C2M","COM","MC","6081605000",NaN
"205",37.581460,-122.389797,360,3653.89,"PC1-m-COM4-DF","COM4","PC1","COM","MC","6081605000",NaN
"206",37.581460,-122.389797,360,2686.68,"RM1L-m-COM4-DF","COM4","RM1L","COM","MC","6081605000",NaN
"207",37.581460,-122.389797,360,859.74,"RM1M-m-COM4-DF","COM4","RM1M","COM","MC","6081605000",NaN
