assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,hazus
93,39.2634436,-121.5062545,360,1671.9,S2L-m-COM2-DF,6115041001,COM,COM2,S2L,MC,S2L-MC-COM2
94,39.2634436,-121.5062545,360,835.95,S3-m-COM2-DF,6115041001,COM,COM2,S3,MC,S3-MC-COM2
95,39.2634436,-121.5062545,360,852.669,URML-p-COM2-DF,6115041001,COM,COM2,URML,PC,URML-PC-COM2
96,39.2634436,-121.5062545,360,835.95,W1-m-COM2-DF,6115041001,COM,COM2,W1,MC,W1-MC-COM2
97,39.2634436,-121.5062545,360,1331.303,C2L-m-COM3-DF,6115041001,COM,COM3,C2L,MC,C2L-MC-COM3
98,39.2634436,-121.5062545,360,655.7166,PC1-m-COM3-DF,6115041001,COM,COM3,PC1,MC,PC1-MC-COM3
99,39.2634436,-121.5062545,360,1331.303,RM1L-m-COM3-DF,6115041001,COM,COM3,RM1L,MC,RM1L-MC-COM3
100,39.2634436,-121.5062545,360,655.7166,RM2L-m-COM3-DF,6115041001,COM,COM3,RM2L,MC,RM2L-MC-COM3
101,39.2634436,-121.5062545,360,1254.96,W1-m-COM3-DF,6115041001,COM,COM3,W1,MC,W1-MC-COM3
102,39.2634436,-121.5062545,360,1260.688,C1L-m-COM4-DF,6115041001,COM,COM4,C1L,MC,C1L-MC-COM4
103,39.2634436,-121.5062545,360,3782.064,C2L-m-COM4-DF,6115041001,COM,COM4,C2L,MC,C2L-MC-COM4
104,39.2634436,-121.5062545,360,1260.688,PC1-m-COM4-DF,6115041001,COM,COM4,PC1,MC,PC1-MC-COM4
105,39.2634436,-121.5062545,360,4991.178,RM1L-m-COM4-DF,6115041001,COM,COM4,RM1L,MC,RM1L-MC-COM4
106,39.2634436,-121.5062545,360,2458.342,RM2L-m-COM4-DF,6115041001,COM,COM4,RM2L,MC,RM2L-MC-COM4
107,39.2634436,-121.5062545,360,9982.356,W1-m-COM4-DF,6115041001,COM,COM4,W1,MC,W1-MC-COM4
