assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,occ,designlevel
746193,38.2599906,-122.0011886,360,73277.04,W1-m-RES1-DF,06095252707,RES,RES1,W1,MC,RES1,m
746250,34.0918093,-118.508627,360,932127.8,W1-m-RES1-DF,06037262400,RES,RES1,W1,MC,RES1,m
746309,34.041585,-118.2808542,360,6782.82,W1-m-RES1-DF,06037224320,RES,RES1,W1,MC,RES1,m
746462,36.9511694,-120.0873976,360,600753.8,W1-m-RES1-DF,06039000702,RES,RES1,W1,MC,RES1,m
746537,32.7498572,-117.0553352,360,231570.9,W1-m-RES1-DF,06073002903,RES,RES1,W1,MC,RES1,m
746685,38.3806559,-122.7996795,360,324708.5,W1-m-RES1-DF,06097153403,RES,RES1,W1,MC,RES1,m
746759,36.923156,-119.6923076,360,296976.1,W1-m-RES1-DF,06019005515,RES,RES1,W1,MC,RES1,m
746802,34.2293596,-119.0450209,360,360652.4,W1-m-RES1-DF,06111005504,RES,RES1,W1,MC,RES1,m
746868,32.7598645,-117.0458989,360,286666.5,W1-m-RES1-DF,06073014702,RES,RES1,W1,MC,RES1,m
746902,37.7569391,-122.4692332,360,600613.9,W1-m-RES1-DF,06075030301,RES,RES1,W1,MC,RES1,m
747000,37.9853105,-121.299006,360,72508.75,W1-m-RES1-DF,06077001400,RES,RES1,W1,MC,RES1,m
747056,37.746019,-122.4804356,360,382035.0,W1-m-RES1-DF,06075032801,RES,RES1,W1,MC,RES1,m
747105,37.4137914,-121.9573012,360,3947.64,W1-m-RES1-DF,06085505014,RES,RES1,W1,MC,RES1,m
747160,33.9459765,-118.0409409,360,353672.6,W1-m-RES1-DF,06037502901,RES,RES1,W1,MC,RES1,m
747295,40.7846083,-124.1798708,360,390845.6,W1-m-RES1-DF,06023000200,RES,RES1,W1,MC,RES1,m
747508,37.8181386,-122.2667055,360,13720.15,W1-m-RES1-DF,06001401300,RES,RES1,W1,MC,RES1,m
747604,32.758151,-117.1345126,360,62009.64,W1-m-RES1-DF,06073001202,RES,RES1,W1,MC,RES1,m
747669,33.6278555,-117.2176981,360,16325.62,W1-m-RES1-DF,06065043279,RES,RES1,W1,MC,RES1,m
747688,35.3272161,-119.0959308,360,48578.3,W1-m-RES1-DF,06029002823,RES,RES1,W1,MC,RES1,m
747766,35.0194456,-120.5127436,360,78522.3,W1-m-RES1-DF,06079012403,RES,RES1,W1,MC,RES1,m
747829,33.4917233,-117.0839947,360,204153.8,W1-m-RES1-DF,06065043265,RES,RES1,W1,MC,RES1,m
747925,34.1273015,-118.0983767,360,1005953.0,W1-m-RES1-DF,06037464200,RES,RES1,W1,MC,RES1,m
747970,37.6298655,-122.1002746,360,245243.0,W1-m-RES1-DF,06001437102,RES,RES1,W1,MC,RES1,m
748078,37.647144,-122.1015751,360,253590.5,W1-m-RES1-DF,06001437000,RES,RES1,W1,MC,RES1,m
