AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,censusTract,occType,occupancy,strType,designLevel,ExpectedLoss
"100",39.263444,-121.506255,360,655.72,"RM2L-m-COM3-DF","6115041001","COM","COM3","RM2L","MC",NaN
"101",39.263444,-121.506255,360,1254.96,"W1-m-COM3-DF","6115041001","COM","COM3","W1","MC",NaN
"102",39.263444,-121.506255,360,1260.69,"C1L-m-COM4-DF","6115041001","COM","COM4","C1L","MC",NaN
"103",39.263444,-121.506255,360,3782.06,"C2L-m-COM4-DF","6115041001","COM","COM4","C2L","MC",NaN
"104",39.263444,-121.506255,360,1260.69,"PC1-m-COM4-DF","6115041001","COM","COM4","PC1","MC",NaN
"105",39.263444,-121.506255,360,4991.18,"RM1L-m-COM4-DF","6115041001","COM","COM4","RM1L","MC",NaN
"106",39.263444,-121.506255,360,2458.34,"RM2L-m-COM4-DF","6115041001","COM","COM4","RM2L","MC",NaN
"107",39.263444,-121.506255,360,9982.36,"W1-m-COM4-DF","6115041001","COM","COM4","W1","MC",NaN
"108",39.263444,-121.506255,360,4916.68,"W2-m-COM4-DF","6115041001","COM","COM4","W2","MC",NaN
"109",39.263444,-121.506255,360,1362.00,"S2L-m-COM5-DF","6115041001","COM","COM5","S2L","MC",NaN
"110",39.263444,-121.506255,360,1362.00,"W2-m-COM5-DF","6115041001","COM","COM5","W2","MC",NaN
"111",39.263444,-121.506255,360,829.00,"S4L-m-COM7-DF","6115041001","COM","COM7","S4L","MC",NaN
"112",39.263444,-121.506255,360,2111.67,"C2L-m-COM8-DF","6115041001","COM","COM8","C2L","MC",NaN
"113",39.263444,-121.506255,360,1055.84,"RM1L-m-COM8-DF","6115041001","COM","COM8","RM1L","MC",NaN
"114",39.263444,-121.506255,360,1055.84,"RM2L-m-COM8-DF","6115041001","COM","COM8","RM2L","MC",NaN
"115",39.263444,-121.506255,360,1087.83,"S1L-m-COM8-DF","6115041001","COM","COM8","S1L","MC",NaN
"116",39.263444,-121.506255,360,1087.83,"S4L-m-COM8-DF","6115041001","COM","COM8","S4L","MC",NaN
"117",39.263444,-121.506255,360,5580.00,"S2L-m-EDU1-DF","6115041001","EDU","EDU1","S2L","MS",NaN
"118",39.263444,-121.506255,360,5580.00,"W2-m-EDU1-DF","6115041001","EDU","EDU1","W2","MS",NaN
"119",39.263444,-121.506255,360,4313.00,"C2L-m-IND1-DF","6115041001","IND","IND1","C2L","MC",NaN
"120",39.263444,-121.506255,360,5542.90,"PC1-m-IND2-DF","6115041001","IND","IND2","PC1","MC",NaN
"121",39.263444,-121.506255,360,2730.08,"PC2L-m-IND2-DF","6115041001","IND","IND2","PC2L","MC",NaN
"122",39.263444,-121.506255,360,5442.75,"RM1L-m-IND2-DF","6115041001","IND","IND2","RM1L","MC",NaN
"123",39.263444,-121.506255,360,2658.24,"S1L-m-IND2-DF","6115041001","IND","IND2","S1L","MC",NaN
"124",39.263444,-121.506255,360,2738.79,"S3-m-IND2-DF","6115041001","IND","IND2","S3","MC",NaN
"125",39.263444,-121.506255,360,2658.24,"S4L-m-IND2-DF","6115041001","IND","IND2","S4L","MC",NaN
"126",39.263444,-121.506255,360,4625.38,"C1L-m-IND3-DF","6115041001","IND","IND3","C1L","MC",NaN
"127",39.263444,-121.506255,360,43170.17,"C2L-m-IND3-DF","6115041001","IND","IND3","C2L","MC",NaN
"128",39.263444,-121.506255,360,80173.17,"PC1-m-IND3-DF","6115041001","IND","IND3","PC1","MC",NaN
"129",39.263444,-121.506255,360,26210.46,"PC2L-m-IND3-DF","6115041001","IND","IND3","PC2L","MC",NaN
"130",39.263444,-121.506255,360,37117.21,"RM1L-m-IND3-DF","6115041001","IND","IND3","RM1L","MC",NaN
"131",39.263444,-121.506255,360,5139.31,"S1L-l-IND3-DF","6115041001","IND","IND3","S1L","LC",NaN
"132",39.263444,-121.506255,360,27409.63,"S1L-m-IND3-DF","6115041001","IND","IND3","S1L","MC",NaN
"133",39.263444,-121.506255,360,26553.08,"S2L-m-IND3-DF","6115041001","IND","IND3","S2L","MC",NaN
"134",39.263444,-121.506255,360,16274.47,"S3-m-IND3-DF","6115041001","IND","IND3","S3","MC",NaN
"135",39.263444,-121.506255,360,5139.31,"S4L-l-IND3-DF","6115041001","IND","IND3","S4L","LC",NaN
"136",39.263444,-121.506255,360,5139.31,"S4L-m-IND3-DF","6115041001","IND","IND3","S4L","MC",NaN
